Experiment,Method,Guidance Scale,Guidance Strength,Timestamp,Num Images,SSIM,PixCorr,AlexNet-2,AlexNet-5,CLIP,InceptionV3,EffNet-B,SwAV
brain_scheduling_scale100000_str0.2_20251026_215211,brain_scheduling,100000,0.2,20251026_215211,250,0.45015839248895645,0.14283140003681183,18.0,28.000000000000004,18.0,28.000000000000004,0.8612430095672607,0.05595294386148453
brain_scheduling_scale30000_str0.2_20251026_212457,brain_scheduling,30000,0.2,20251026_212457,250,0.4827237963676453,0.14010266959667206,8.0,20.0,24.0,24.0,0.8705973029136658,0.06719610840082169
brain_scheduling_scale300000_str0.2_20251026_205738,brain_scheduling,300000,0.2,20251026_205738,250,0.41301859319210055,0.14984922111034393,26.0,16.0,22.0,28.000000000000004,0.9153763651847839,0.056866906583309174
cp_4096_v1_with_z_scale8000_str0.2_20251026_162044,cp_4096_v1_with_z,8000,0.2,20251026_162044,250,0.48463603913784026,0.14306406676769257,2.0,14.000000000000002,20.0,26.0,0.8566652536392212,0.061027903109788895
cp_4096_v1_with_z_scale3000_str0.4_20251026_085458,cp_4096_v1_with_z,3000,0.4,20251026_085458,250,0.5052534726262092,0.13784712553024292,10.0,18.0,22.0,14.000000000000002,0.8663458824157715,0.07317332178354263
cp_4096_v1_with_z_scale3000_str0.2_20251026_080314,cp_4096_v1_with_z,3000,0.2,20251026_080314,250,0.5027286753058433,0.13282665610313416,10.0,16.0,20.0,18.0,0.8701673746109009,0.07258116453886032
cp_4096_v1_with_z_scale3000_str0.1_20251026_083046,cp_4096_v1_with_z,3000,0.1,20251026_083046,250,0.5025003907084465,0.13109740614891052,8.0,12.0,18.0,20.0,0.8621475100517273,0.07186536490917206
cp_4096_v1_with_z_scale100000_str0.2_20251026_152601,cp_4096_v1_with_z,100000,0.2,20251026_152601,250,0.41823364049196243,0.17200210690498352,20.0,30.0,24.0,32.0,0.8568704724311829,0.055978115648031235
cp_4096_v1_with_z_scale3000000_str0.4_20251026_043948,cp_4096_v1_with_z,3000000,0.4,20251026_043948,250,0.3745126433670521,0.1316533122677356,12.0,12.0,2.0,8.0,0.9156053066253662,0.07784450054168701
cp_4096_v1_with_z_scale3000000_str0.2_20251026_034747,cp_4096_v1_with_z,3000000,0.2,20251026_034747,250,0.3709176768362522,0.1351900224201381,10.0,12.0,4.0,4.0,0.9007048010826111,0.07989787310361862
cp_4096_v1_with_z_scale3000000_str0.1_20251026_041544,cp_4096_v1_with_z,3000000,0.1,20251026_041544,250,0.36924328431487086,0.13630784057080747,8.0,6.0,4.0,4.0,0.9224867224693298,0.08026126772165298
cp_4096_v1_with_z_scale200000_str0.2_20251026_155320,cp_4096_v1_with_z,200000,0.2,20251026_155320,250,0.4076390862464905,0.1282019019126892,26.0,28.000000000000004,16.0,26.0,0.9030379056930542,0.05460821092128754
cp_4096_v1_with_z_scale30000_str0.4_20251026_072950,cp_4096_v1_with_z,30000,0.4,20251026_072950,250,0.4597409650683403,0.13986654579639435,12.0,22.0,24.0,30.0,0.8984745740890503,0.056871116161346436
cp_4096_v1_with_z_scale30000_str0.2_20251026_063805,cp_4096_v1_with_z,30000,0.2,20251026_063805,250,0.44455723837018013,0.14139465987682343,18.0,18.0,26.0,24.0,0.8773873448371887,0.05757324397563934
cp_4096_v1_with_z_scale30000_str0.1_20251026_070537,cp_4096_v1_with_z,30000,0.1,20251026_070537,250,0.4387532040476799,0.13947874307632446,10.0,20.0,18.0,22.0,0.885269820690155,0.05951906368136406
cp_4096_v1_with_z_scale300000_str0.4_20251026_060443,cp_4096_v1_with_z,300000,0.4,20251026_060443,250,0.4449546955525875,0.15070053935050964,32.0,30.0,16.0,30.0,0.9181186556816101,0.053656406700611115
cp_4096_v1_with_z_scale300000_str0.2_20251026_051305,cp_4096_v1_with_z,300000,0.2,20251026_051305,250,0.4057388104498386,0.1447790265083313,26.0,32.0,18.0,22.0,0.9013365507125854,0.056269288063049316
cp_4096_v1_with_z_scale300000_str0.1_20251026_054035,cp_4096_v1_with_z,300000,0.1,20251026_054035,250,0.38368018850684166,0.13576406240463257,24.0,20.0,22.0,22.0,0.8812806606292725,0.05764013156294823
